filename,width,height,class,xmin,ymin,xmax,ymax
square136.jpg,300,300,square,88,134,138,184
triangle314.jpg,300,300,triangle,49,149,94,194
square_0328.jpg,300,300,square,247,237,278,267
square_139.jpg,300,300,square,182,96,233,145
square122.jpg,300,300,square,90,21,154,83
triangle300.jpg,300,300,triangle,189,47,232,95
square_17.jpg,300,300,square,68,37,102,71
triangle328.jpg,300,300,triangle,129,209,167,249
square_105.jpg,300,300,square,61,232,112,283
square_111.jpg,300,300,square,82,79,124,119
square_03.jpg,300,300,square,44,101,97,154
square_0300.jpg,300,300,square,250,85,281,116
triangle_0440.jpg,300,300,triangle,217,22,258,51
square3.jpg,300,300,square,83,4,124,41
triangle_0332.jpg,300,300,triangle,80,69,129,112
square334.jpg,300,300,square,53,193,122,262
triangle_032.jpg,300,300,triangle,210,164,257,206
triangle_026.jpg,300,300,triangle,93,104,127,136
triangle102.jpg,300,300,triangle,125,117,156,148
square320.jpg,300,300,square,73,169,107,204
square_307.jpg,300,300,square,28,92,59,123
square_0116.jpg,300,300,square,231,115,263,147
triangle_37.jpg,300,300,triangle,37,151,77,184
square_0102.jpg,300,300,square,181,64,217,100
square_313.jpg,300,300,square,109,118,144,153
triangle_0118.jpg,300,300,triangle,98,41,150,87
square240.jpg,300,300,square,155,202,222,264
square254.jpg,300,300,square,120,244,184,300
square_273.jpg,300,300,square,149,164,185,201
square268.jpg,300,300,square,133,98,194,160
square63.jpg,300,300,square,72,51,137,114
square283.jpg,300,300,square,164,197,216,248
square77.jpg,300,300,square,159,153,204,198
triangle_191.jpg,300,300,triangle,54,160,85,187
square_298.jpg,300,300,square,228,228,277,278
triangle37.jpg,300,300,triangle,99,232,126,257
triangle_0291.jpg,300,300,triangle,33,91,89,139
triangle_344.jpg,300,300,triangle,78,51,129,97
square_059.jpg,300,300,square,69,182,118,231
square_0248.jpg,300,300,square,205,226,258,277
triangle274.jpg,300,300,triangle,229,120,277,166
triangle_0285.jpg,300,300,triangle,19,102,74,154
square_0260.jpg,300,300,square,189,203,218,232
square_071.jpg,300,300,square,121,191,173,245
square_0274.jpg,300,300,square,89,153,118,180
triangle248.jpg,300,300,triangle,232,180,262,209
triangle_387.jpg,300,300,triangle,179,169,231,214
triangle_0246.jpg,300,300,triangle,99,206,151,253
triangle_392.jpg,300,300,triangle,113,83,154,117
square_064.jpg,300,300,square,51,163,86,198
triangle249.jpg,300,300,triangle,67,158,95,188
square_0275.jpg,300,300,square,142,144,181,184
triangle_379.jpg,300,300,triangle,60,50,111,95
square_0261.jpg,300,300,square,45,138,80,174
square_070.jpg,300,300,square,148,144,200,195
square_058.jpg,300,300,square,200,161,250,209
square_058.jpg,300,300,square,257,205,296,245
triangle_351.jpg,300,300,triangle,116,174,153,206
triangle275.jpg,300,300,triangle,162,11,201,51
square_0249.jpg,300,300,square,206,92,231,118
triangle261.jpg,300,300,triangle,105,195,148,236
triangle_345.jpg,300,300,triangle,68,146,96,172
triangle_0290.jpg,300,300,triangle,19,157,71,203
triangle36.jpg,300,300,triangle,152,120,189,154
triangle22.jpg,300,300,triangle,229,216,278,268
triangle_190.jpg,300,300,triangle,142,24,184,65
square76.jpg,300,300,square,169,135,208,176
square296.jpg,300,300,square,38,85,82,130
square_299.jpg,300,300,square,149,214,197,265
square282.jpg,300,300,square,134,34,196,96
square62.jpg,300,300,square,82,152,117,188
square89.jpg,300,300,square,160,239,207,287
square_272.jpg,300,300,square,206,21,262,76
square255.jpg,300,300,square,174,47,214,84
triangle_147.jpg,300,300,triangle,44,248,72,275
square241.jpg,300,300,square,1,53,16,85
triangle_0131.jpg,300,300,triangle,233,96,283,141
triangle_0125.jpg,300,300,triangle,171,242,212,279
triangle_22.jpg,300,300,triangle,248,190,283,219
square_0103.jpg,300,300,square,148,132,179,162
square_312.jpg,300,300,square,22,55,68,103
square_306.jpg,300,300,square,32,148,73,189
square309.jpg,300,300,square,23,74,68,120
square_0117.jpg,300,300,square,194,68,228,102
square321.jpg,300,300,square,152,1,187,22
triangle103.jpg,300,300,triangle,60,151,102,194
triangle_033.jpg,300,300,triangle,75,40,107,68
square2.jpg,300,300,square,141,158,181,196
triangle_0333.jpg,300,300,triangle,50,134,97,177
triangle_0327.jpg,300,300,triangle,42,138,86,176
triangle_0441.jpg,300,300,triangle,221,243,254,272
square_110.jpg,300,300,square,99,169,131,201
square_0301.jpg,300,300,square,143,12,177,48
square_02.jpg,300,300,square,119,168,162,211
square_0315.jpg,300,300,square,225,176,271,222
square_16.jpg,300,300,square,103,75,128,100
triangle301.jpg,300,300,triangle,216,60,247,93
square137.jpg,300,300,square,144,41,214,111
triangle_231.jpg,300,300,triangle,13,149,41,175
triangle303.jpg,300,300,triangle,254,180,284,210
square135.jpg,300,300,square,39,68,75,103
square_28.jpg,300,300,square,245,168,283,203
triangle317.jpg,300,300,triangle,246,125,288,167
square_112.jpg,300,300,square,28,122,54,151
square_106.jpg,300,300,square,210,133,261,182
square109.jpg,300,300,square,148,250,194,294
square_14.jpg,300,300,square,129,160,174,204
square_0317.jpg,300,300,square,108,199,140,231
triangle_0331.jpg,300,300,triangle,236,72,275,106
triangle_0443.jpg,300,300,triangle,232,50,262,78
triangle_0325.jpg,300,300,triangle,82,133,110,156
triangle_0319.jpg,300,300,triangle,213,145,249,174
